ensemblID	GeneName	ProteinName	Description	protein_length	protein1	protein2	mRNA1	mRNA2
ENSMUST00000044051	Timm8b;Ddp2;Tim8b	Mitochondrial import inner membrane translocase subunit Tim8 B;Deafness dystonia protein 2 homolog	Mitochondrial import inner membrane translocase subunit Tim8 B	83	167221.99	72617.75	48.68	49.74
ENSMUST00000005643;ENSMUST00000068747;ENSMUST00000111449;ENSMUST00000111452;ENSMUST00000111455	Cugbp1;Brunol2;Celf1;Cugbp	CUG-BP- and ETR-3-like factor 1;Bruno-like protein 2;RNA-binding protein BRUNOL-2;CUG triplet repeat RNA-binding protein 1;Deadenylation factor CUG-BP;Deadenylation factor EDEN-BP;50 kDa nuclear polyadenylated RNA-binding protein;Brain protein F41;Embryo deadenylation element-binding protein homolog	Isoform 4 of CUG-BP- and ETR-3-like factor 1;52 kDa protein;Isoform 1 of CUG-BP- and ETR-3-like factor 1;Isoform 3 of CUG-BP- and ETR-3-like factor 1;Isoform 2 of CUG-BP- and ETR-3-like factor 1	513	167405.53	58704.81	31.58	28.22
ENSMUST00000023000	Mrpl13	"39S ribosomal protein L13, mitochondrial"	"39S ribosomal protein L13, mitochondrial"	178	167513.39	79328.54	106.34	80.95
ENSMUST00000032899	Smap;Sid2057	Small acidic protein;Sid 2057	Small acidic protein;15 kDa protein;9 kDa protein	181	168205.99	351553.69	63.81	80.54
ENSMUST00000014695	Mrps25;Rpms25	"28S ribosomal protein S25, mitochondrial;MRP-S25"	"28S ribosomal protein S25, mitochondrial"	171	168656.05	65420.12	11.26	8.29
ENSMUST00000090413	Utp3;Crl1;Crlz1;Sas10	Something about silencing protein 10;Disrupter of silencing SAS10;UTP3 homolog;Charged amino acid-rich leucine zipper 1	Isoform 1 of Something about silencing protein 10;Isoform 2 of Something about silencing protein 10	469	168704.82	82318.31	28.22	34.94
ENSMUST00000004203	Ppan;Ssf1;mCG_67924	"Suppressor of SWI4 1 homolog;Peter Pan homolog;Putative uncharacterized protein;Peter pan homolog (Drosophila), isoform CRA_c"	Suppressor of SWI4 1 homolog;peter pan homolog	470	169107.5	130434.68	58.48	46.03
ENSMUST00000029574;ENSMUST00000106493	Vcam1;Vcam-1	Vascular cell adhesion protein 1;V-CAM 1;Putative uncharacterized protein	Isoform 1 of Vascular cell adhesion protein 1;vascular cell adhesion molecule 1 precursor	739	169131.43	434312.79	38.14	57.97
ENSMUST00000020209	Ndufa12	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12;NADH-ubiquinone oxidoreductase subunit B17.2;Complex I-B17.2	"NADH dehydrogenase (Ubiquinone) 1 alpha subcomplex, 12"	149	169491.76	106039.87	85.7	65.43
ENSMUST00000031841	Tra2a	Transformer-2 protein homolog alpha;Transformer-2 protein homolog A	transformer-2 alpha	282	169752	343356.72	53.3	44.31
ENSMUST00000047923	Sec24d	"Sec24 related gene family, member D (S. cerevisiae)"	"SEC24 related gene family, member D"	1032	169956.06	218144.85	41.05	50.61
ENSMUST00000000335;ENSMUST00000115609	Comt;Comt1	Catechol O-methyltransferase	catechol-O-methyltransferase;Isoform Membrane-bound of Catechol O-methyltransferase	265	170216.18	281781.01	34.13	33.89
ENSMUST00000054477	Bles03	UPF0696 protein C11orf68 homolog;Basophilic leukemia-expressed protein Bles03;Protein WF-3	basophilic leukemia expressed protein BLES03	298	170401.38	92153.08	38.55	33.46
ENSMUST00000022416	Anxa11;Anx11;mCG_17919	"Annexin A11;Annexin-11;Annexin XI;Calcyclin-associated annexin 50;Anxa11 protein;Putative uncharacterized protein;Annexin A11, isoform CRA_e"	Annexin A11;annexin A11;similar to Annexin A11;similar to Annexin A11	503	170564.97	135864.17	10.56	13.7
ENSMUST00000006137	Trap1;Hsp75	"Heat shock protein 75 kDa, mitochondrial;Tumor necrosis factor type 1 receptor-associated protein;TNFR-associated protein 1"	"Heat shock protein 75 kDa, mitochondrial"	706	170635.6	118748.31	28.68	17.63
ENSMUST00000028807	Ivd	"Isovaleryl-CoA dehydrogenase, mitochondrial"	"Isovaleryl-CoA dehydrogenase, mitochondrial"	424	171006.8	78631.56	9.46	9.5
ENSMUST00000021719	Mp68	6.8 kDa mitochondrial proteolipid	6.8 kDa mitochondrial proteolipid	58	171024.15	130177.1	88.99	91.66
ENSMUST00000032191	Sumf1;Fge	Sulfatase-modifying factor 1;C-alpha-formylglycine-generating enzyme 1	Sulfatase-modifying factor 1	372	171399.74	197160.51	9.78	11.96
ENSMUST00000011323	Odc1;Odc	Ornithine decarboxylase	Ornithine decarboxylase;ornithine decarboxylase 1	461	172125.74	245563.26	183.75	170.65
ENSMUST00000050201;ENSMUST00000057669	Mapk3;Erk1;Prkm3	Mitogen-activated protein kinase 3;Extracellular signal-regulated kinase 1;Insulin-stimulated MAP2 kinase;MAP kinase 1;p44-ERK1;ERT2;p44-MAPK;Microtubule-associated protein 2 kinase;MNK1;Putative uncharacterized protein	Mitogen-activated protein kinase 3;42 kDa protein;Putative uncharacterized protein	380	172782.53	221925.83	50.37	37.16
ENSMUST00000026976		UPF0363 protein C7orf20 homolog	Isoform 1 of UPF0363 protein C7orf20 homolog;Isoform 2 of UPF0363 protein C7orf20 homolog;28 kDa protein;22 kDa protein	327	173090.85	144441.6	52.24	36.68
ENSMUST00000033489	Praf2;DXImx39e	PRA1 family protein 2	PRA1 family protein 2	178	173968.66	139008.7	19.34	15.7
ENSMUST00000022378	Ero1l	ERO1-like protein alpha;Oxidoreductin-1-L-alpha;Endoplasmic oxidoreductin-1-like protein	ERO1-like protein alpha	464	174228.15	446254.24	22.55	21.52
ENSMUST00000021197	Blmh	Bleomycin hydrolase	Bleomycin hydrolase	455	174400.33	555241.52	20.47	23.07
ENSMUST00000061331	Hnrpll	Heterogeneous nuclear ribonucleoprotein L-like	Isoform 1 of Heterogeneous nuclear ribonucleoprotein L-like	591	174420.51	163831.01	23.82	17.42
ENSMUST00000038514	Nup54	Nucleoporin p54;54 kDa nucleoporin	Nuclear pore complex protein Nup54	510	175044.32	50828.03	20.54	17.48
ENSMUST00000084524	Prpf4	U4/U6 small nuclear ribonucleoprotein Prp4;U4/U6 snRNP 60 kDa protein;WD splicing factor Prp4	U4/U6 small nuclear ribonucleoprotein Prp4	521	175512.69	87575.64	7.58	5.74
ENSMUST00000019076	Map2k3;Mkk3;Prkmk3	Dual specificity mitogen-activated protein kinase kinase 3;MAPK/ERK kinase 3	Isoform 2 of Dual specificity mitogen-activated protein kinase kinase 3	347	176060.54	103110.65	56.28	69.2
ENSMUST00000025469;ENSMUST00000115246	Csnk1a1	Casein kinase I isoform alpha;CK1	Isoform 1 of Casein kinase I isoform alpha;Isoform 2 of Casein kinase I isoform alpha	337	176455.07	302319.08	36.94	38.02
ENSMUST00000032936	Ppp4c;Ppp4;Ppx	Serine/threonine-protein phosphatase 4 catalytic subunit;Protein phosphatase X	Serine/threonine-protein phosphatase 4 catalytic subunit	307	176693.01	231163.49	44.2	47.98
ENSMUST00000047226;ENSMUST00000097301	Lonp1;Prss15	"Lon protease homolog, mitochondrial;Lon protease-like protein;Mitochondrial ATP-dependent protease Lon;Serine protease 15;Lon protease homolog"	"Lon protease homolog, mitochondrial;Lon protease homolog"	949	177582.24	143501.4	49.77	33.14
ENSMUST00000075853	Cks2	Cyclin-dependent kinases regulatory subunit 2	Cyclin-dependent kinases regulatory subunit 2;similar to Cyclin-dependent kinases regulatory subunit 2;similar to Cyclin-dependent kinases regulatory subunit 2	79	177741.63	58369.08	38.95	38.75
ENSMUST00000000348	Rtcd1;mCG_2349;Rpc1	"Putative uncharacterized protein;RNA terminal phosphate cyclase domain 1, isoform CRA_b;RNA 3'-terminal phosphate cyclase;RNA terminal phosphate cyclase domain-containing protein 1"	RNA terminal phosphate cyclase domain 1;RNA 3'-terminal phosphate cyclase	366	177868.49	201313.24	41.28	28.34
ENSMUST00000022391;ENSMUST00000070762;ENSMUST00000089901;ENSMUST00000111743;ENSMUST00000111744;ENSMUST00000111745	Ktn1	Kinectin	Isoform 5 of Kinectin;Isoform 1 of Kinectin;Isoform 6 of Kinectin;Isoform 9 of Kinectin;Isoform 11 of Kinectin;Isoform 10 of Kinectin;Isoform 15 of Kinectin;Isoform 3 of Kinectin;Isoform 7 of Kinectin;Isoform 13 of Kinectin;Isoform 16 of Kinectin;Isoform 4	1275	177899.09	63935.6	14.98	15.24
ENSMUST00000031080	Fam114a1;Noxp20	Protein Noxp20;Nervous system over-expressed protein 20;Protein FAM114A1	Protein Noxp20	569	177932.38	71404.31	7.11	12.37
ENSMUST00000027961	Hspa14;Hsp70-4	Heat shock 70 kDa protein 14;NST-1;hsr.1	Isoform 2 of Heat shock 70 kDa protein 14;Isoform 1 of Heat shock 70 kDa protein 14	515	178138.21	147379.8	29.08	27.73
ENSMUST00000027777	Parp1	Putative uncharacterized protein	Putative uncharacterized protein	1014	178212.72	198074.83	38.53	34.72
ENSMUST00000003268	Sh3gl1;Sh3d2b	Endophilin-A2;Endophilin-2;SH3 domain-containing GRB2-like protein 1;SH3 domain protein 2B;SH3p8	Endophilin-A2	368	178274.05	184484.02	20.61	24.88
ENSMUST00000088716;ENSMUST00000035057;ENSMUST00000111971;ENSMUST00000111966	Smarcc1;Baf155;Srg3	SWI/SNF complex subunit SMARCC1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 1;SWI/SNF complex 155 kDa subunit;BRG1-associated factor 155;SWI3-related protein;Putative uncharacterized protein	Isoform 1 of SWI/SNF complex subunit SMARCC1;Putative uncharacterized protein;Isoform 2 of SWI/SNF complex subunit SMARCC1;107 kDa protein;Putative uncharacterized protein	1104	178551.66	94681.36	30.51	31.53
ENSMUST00000098574;ENSMUST00000029796	Rap1gds1	Putative uncharacterized protein	"RAP1, GTP-GDP dissociation stimulator 1 isoform a;RAP1, GTP-GDP dissociation stimulator 1 isoform b"	607	178706.56	178048.31	25.67	24.15
ENSMUST00000047721	Rrp9;Rnu3ip2;U3-55k	U3 small nucleolar RNA-interacting protein 2;U3 small nucleolar ribonucleoprotein-associated 55 kDa protein;RRP9 homolog	U3 small nucleolar RNA-interacting protein 2	475	179061.11	55971.64	44.52	29.51
ENSMUST00000027122	Mobkl3;Mob3;Prei3	Mps one binder kinase activator-like 3;Preimplantation protein 3;Mob1 homolog 3;Class II mMOB1	Mps one binder kinase activator-like 3	225	179833.55	90791.37	10.52	10.24
ENSMUST00000038446	Myl12b;Mrlc2;Mylc2b	"Myosin regulatory light chain 12B;Myosin regulatory light chain MRLC2;Myosin regulatory light chain 2-B, smooth muscle isoform;Myosin regulatory light chain 20 kDa"	Myosin regulatory light chain 12B	172	179940.85	606376.95	69.94	59.14
ENSMUST00000042345	Ctnna1;Catna1	Catenin alpha-1;102 kDa cadherin-associated protein;CAP102;Alpha E-catenin	Catenin alpha-1	906	181186.86	242456.24	62.24	63.44
ENSMUST00000075092	Ndufs8	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial;NADH-ubiquinone oxidoreductase 23 kDa subunit;Complex I-23kD"	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"	212	181686.7	175521.37	47.72	34.29
ENSMUST00000042901;ENSMUST00000107803	Smc4;Capc;Smc4l1	Structural maintenance of chromosomes protein 4;Chromosome-associated polypeptide C;XCAP-C homolog;Putative uncharacterized protein	Structural maintenance of chromosomes protein 4;Smc4 protein;similar to SMC4 protein	1286	181695.58	70157.22	28.9	20.02
ENSMUST00000062678;ENSMUST00000092345;ENSMUST00000105386	Rrp1;Nnp1	Ribosomal RNA processing protein 1 homolog A;RRP1-like protein;Novel nuclear protein 1;Nucleolar protein Nop52	Isoform 1 of Ribosomal RNA processing protein 1 homolog A;Isoform 2 of Ribosomal RNA processing protein 1 homolog A;Isoform 3 of Ribosomal RNA processing protein 1 homolog A	494	181742.53	99591.94	92.41	71.87
ENSMUST00000021428	Snw1;Skiip	SNW domain-containing protein 1;Nuclear protein SkiP;Ski-interacting protein	SNW domain-containing protein 1	536	182279.7	89169.98	24.47	31.74
ENSMUST00000019829;ENSMUST00000110339	Synj2bp;Arip2;Omp25	Synaptojanin-2-binding protein;Activin receptor-interacting protein 2;Activin receptor-interacting protein 4;Mitochondrial outer membrane protein 25	Isoform 1 of Synaptojanin-2-binding protein;Isoform 2 of Synaptojanin-2-binding protein;Isoform 3 of Synaptojanin-2-binding protein	145	182508.37	109542.18	2.39	2.56
ENSMUST00000010752	Rbm25	RNA-binding protein 25;RNA-binding motif protein 25	Isoform 1 of RNA-binding protein 25;Isoform 2 of RNA-binding protein 25	841	182741.71	75482.93	22.01	23.9
ENSMUST00000041859	Gmds	"GDP-mannose 4,6 dehydratase;GDP-D-mannose dehydratase"	"GDP-mannose 4,6 dehydratase"	372	182892.96	206148.92	19.45	14.86
ENSMUST00000091354;ENSMUST00000120143	Tpd52	Tumor protein D52	Isoform 3 of Tumor protein D52;tumor protein D52 isoform 4;Isoform 2 of Tumor protein D52;tumor protein D52 isoform 1;Isoform 1 of Tumor protein D52;23 kDa protein;19 kDa protein;18 kDa protein;9 kDa protein	199	183373.6	306213.25	17.27	24.95
ENSMUST00000027111	Ndufs1	"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial;Complex I-75kD;NADH-ubiquinone oxidoreductase 75 kDa subunit"	"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial;NADH dehydrogenase (ubiquinone) Fe-S protein 1 precursor"	727	183541.15	169571.43	20.97	18.43
ENSMUST00000033775;ENSMUST00000114091	Mpp1;RP23-62O13.2-003;RP23-62O13.2-009	"55 kDa erythrocyte membrane protein;Membrane protein, palmitoylated 1;Membrane protein, palmitoylated"	"55 kDa erythrocyte membrane protein;Membrane protein, palmitoylated;Membrane protein, palmitoylated"	466	183760.95	380939.51	33.9	39.61
ENSMUST00000057195;ENSMUST00000107891	Nup62	Nuclear pore glycoprotein p62;62 kDa nucleoporin	Nuclear pore glycoprotein p62	526	183855.73	194041.81	40.69	42.99
ENSMUST00000045312	Smc1a;Sb1.8;Smc1;Smc1l1;Smcb	Smc1a protein;Structural maintenance of chromosomes protein 1A;SMC1alpha protein;Chromosome segregation protein SmcB;Sb1.8	structural maintenance of chromosomes 1A;Structural maintenance of chromosomes protein 1A	1233	184169.28	92811.53	39.98	35.57
ENSMUST00000111331;ENSMUST00000070873;ENSMUST00000090614;ENSMUST00000111329;ENSMUST00000111330	Arhgap1;RP23-12H6.1-001	Rho GTPase activating protein 1;Rho GTPase-activating protein 1;Rho-type GTPase-activating protein 1	Rho GTPase activating protein 1 isoform 1;Rho GTPase-activating protein 1	479	184171.12	556166.31	23.47	23.88
ENSMUST00000048731		UPF0552 protein C15orf38 homolog	UPF0552 protein C15orf38 homolog	226	184569.63	172467.08	15.09	13.72
ENSMUST00000091589;ENSMUST00000099479	Ddx46;Kiaa0801	Probable ATP-dependent RNA helicase DDX46;DEAD box protein 46	Isoform 1 of Probable ATP-dependent RNA helicase DDX46;Isoform 2 of Probable ATP-dependent RNA helicase DDX46	1032	184738.27	84347.41	19.33	18.71
ENSMUST00000026506	Clns1a;Icln;Clci;Clcni	"Chloride channel regulator;Methylosome subunit pICln;Chloride conductance regulatory protein ICln;Chloride channel, nucleotide sensitive 1A;Chloride ion current inducer protein"	"Chloride channel, nucleotide-sensitive, 1A, isoform CRA_b;Methylosome subunit pICln"	241	185234.18	187205.82	47.24	48.19
ENSMUST00000107809;ENSMUST00000107810	Tomm5;Tom5	Mitochondrial import receptor subunit TOM5 homolog	Isoform 1 of Mitochondrial import receptor subunit TOM5 homolog	51	185415.21	95353.83	81.41	61.71
ENSMUST00000052499	Rps19bp1;Aros	Active regulator of SIRT1;40S ribosomal protein S19-binding protein 1	Active regulator of SIRT1	143	185527.32	73377.74	57.07	48.71
ENSMUST00000065678	Sec61b	Protein transport protein Sec61 subunit beta	Protein transport protein Sec61 subunit beta	96	185578.78	673154.42	89.98	115.13
ENSMUST00000005607	Asf1b	Histone chaperone ASF1B;Anti-silencing function protein 1 homolog B	Histone chaperone ASF1B	202	185906.24	96128.6	22.77	19.33
ENSMUST00000030702;ENSMUST00000105919	Ppp1r8;Nipp1;RP23-464L12.2-005	"Nuclear inhibitor of protein phosphatase 1;Protein phosphatase 1 regulatory inhibitor subunit 8;Protein phosphatase 1, regulatory (Inhibitor) subunit 8"	"Nuclear inhibitor of protein phosphatase 1;Protein phosphatase 1, regulatory (Inhibitor) subunit 8"	351	186022.59	135128.56	30.67	22.82
ENSMUST00000003029	Timm44;Mimt44;Tim44	Timm44 protein;Mitochondrial import inner membrane translocase subunit TIM44	translocase of inner mitochondrial membrane 44 precursor;Mitochondrial import inner membrane translocase subunit TIM44	452	186787.59	182925.91	23.01	23.76
ENSMUST00000079961;ENSMUST00000109547	Nup93;Cip4;Kiaa0095	Nuclear pore complex protein Nup93;Nucleoporin Nup93;93 kDa nucleoporin;CBP-interacting protein 4	Isoform 1 of Nuclear pore complex protein Nup93;Isoform 2 of Nuclear pore complex protein Nup93	819	186808.6	220104.49	28.23	28.87
ENSMUST00000035484;ENSMUST00000072249;ENSMUST00000116517	Cdv3	Protein CDV3;Carnitine deficiency-associated protein 3;Tyrosine-phosphorylated protein 36	Isoform 1 of Protein CDV3;Isoform 2 of Protein CDV3;carnitine deficiency-associated gene expressed in ventricle 3 isoform c	281	186905.11	272676.96	53.24	45.33
ENSMUST00000043235	Tiprl	TIP41-like protein	TIP41-like protein	271	187153.27	117697.33	6.1	4.81
ENSMUST00000031268	Enoph1;Masa	"Enolase-phosphatase E1;2,3-diketo-5-methylthio-1-phosphopentane phosphatase;MASA homolog"	Isoform 1 of Enolase-phosphatase E1;Isoform 2 of Enolase-phosphatase E1	257	187357.62	156527.52	26.98	14.04
ENSMUST00000005003	Lbr	Lamin-B receptor;Integral nuclear envelope inner membrane protein	Lamin-B receptor	626	187384.07	122831.05	16.8	15.29
ENSMUST00000025759	Eif1ad	Probable RNA-binding protein EIF1AD;Eukaryotic translation initiation factor 1A domain-containing protein	Probable RNA-binding protein EIF1AD	170	187540	57657.61	38.81	23.95
ENSMUST00000042148	Mrps28	"28S ribosomal protein S28, mitochondrial;MRP-S28"	"28S ribosomal protein S28, mitochondrial"	186	188162.18	98688.36	16.21	12.83
ENSMUST00000015858	Lass2;Trh3	LAG1 longevity assurance homolog 2;Translocating chain-associating membrane protein homolog 3	LAG1 longevity assurance homolog 2;29 kDa protein;26 kDa protein;16 kDa protein	380	188503.4	308850.08	91.33	91.81
ENSMUST00000033018;ENSMUST00000067929	Far1;Mlstd2	Fatty acyl-CoA reductase 1;Male sterility domain-containing protein 2	Isoform 4 of Fatty acyl-CoA reductase 1;Isoform 1 of Fatty acyl-CoA reductase 1;Isoform 3 of Fatty acyl-CoA reductase 1;Isoform 2 of Fatty acyl-CoA reductase 1	519	188794.33	294707.44	24.21	28.94
ENSMUST00000082149;ENSMUST00000097666;ENSMUST00000113360;ENSMUST00000113363	Cab39;Mo25	Calcium-binding protein 39;Protein Mo25;Cab39 protein	Calcium-binding protein 39;calcium binding protein 39	341	189497.14	271931.6	20.55	20.4
ENSMUST00000038677	Rrp12;Kiaa0690	RRP12-like protein	RRP12-like protein	1295	189587.7	67695.93	17.87	15.77
ENSMUST00000018143	Ddx27	Probable ATP-dependent RNA helicase DDX27;DEAD box protein 27	"Isoform 1 of Probable ATP-dependent RNA helicase DDX27;MCG14602, isoform CRA_c"	760	189637.03	112779.02	51.93	44.3
ENSMUST00000003622	Slc25a1	Putative uncharacterized protein	"solute carrier family 25, member 1"	311	190273.78	143778.49	15.35	14.73
ENSMUST00000090824;ENSMUST00000112073	Mltk	Mitogen-activated protein kinase kinase kinase MLT;MLK-like mitogen-activated protein triple kinase;Leucine zipper- and sterile alpha motif kinase ZAK;Sterile alpha motif- and leucine zipper-containing kinase AZK;Mixed lineage kinase-related kinase	Isoform 2 of Mitogen-activated protein kinase kinase kinase MLT;Isoform 1 of Mitogen-activated protein kinase kinase kinase MLT;Isoform 3 of Mitogen-activated protein kinase kinase kinase MLT	454	190896.98	188095.86	17.52	19.29
ENSMUST00000070673	Rab31	Ras-related protein Rab-31	Rab31-like	195	191039.79	277033.05	28.21	42.72
ENSMUST00000033992	Gsr;Gr1	"Glutathione reductase, mitochondrial"	"Isoform Mitochondrial of Glutathione reductase, mitochondrial;Isoform Cytoplasmic of Glutathione reductase, mitochondrial"	500	191159.19	322585.49	18.15	22.2
ENSMUST00000022053	Trip13	Thyroid receptor-interacting protein 13;Thyroid hormone receptor interactor 13	Thyroid receptor-interacting protein 13	432	191721.62	142383.82	22.26	14.91
ENSMUST00000002436	Snx9	Sorting nexin-9	Sorting nexin-9;similar to Sorting nexin 9	595	192043.06	309110.59	61.21	87.78
ENSMUST00000051301	Pura	Transcriptional activator protein Pur-alpha;Purine-rich single-stranded DNA-binding protein alpha	Transcriptional activator protein Pur-alpha;similar to hCG45299 isoform 3;similar to hCG45299 isoform 2	321	192279.13	348634.41	7.79	8.55
ENSMUST00000002128;ENSMUST00000108322;ENSMUST00000108323;ENSMUST00000056241	Rab34;RP23-185A18.5-001;Rab39;Rah;Rah1;RP23-185A18.5-008;RP23-185A18.5-002;RP23-185A18.5-007	"RAB34, member of RAS oncogene family;Rab34;Ras-related protein Rab-34;Rab-39;Ras-related protein Rah;Ras-related homolog"	"Ras-related protein RAB34;Ras-related protein Rab-34;RAB34, member of RAS oncogene family;RAB34, member of RAS oncogene family;RAB34, member of RAS oncogene family"	259	192505.41	82998.58	53.25	38.84
ENSMUST00000001242	D10Jhu81e	"ES1 protein homolog, mitochondrial"	"ES1 protein homolog, mitochondrial;hypothetical protein isoform 2"	266	192529.54	101850.79	11.41	10.62
ENSMUST00000018431	Spag7;DN-183N8.18-002;RP23-326P7.3-002	Sperm-associated antigen 7;Sperm associated antigen 7	Sperm-associated antigen 7;sperm associated antigen 7 isoform 2	227	193080.33	87578.53	29.24	32.72
ENSMUST00000064393	Rcl1;Rnac	RNA 3'-terminal phosphate cyclase-like protein	RNA 3'-terminal phosphate cyclase-like protein	373	193237.52	96279.62	34.37	26.85
ENSMUST00000028087	Ppp6c	Serine/threonine-protein phosphatase 6 catalytic subunit	Serine/threonine-protein phosphatase 6 catalytic subunit	305	193447.48	141643.85	14.31	12.12
ENSMUST00000002027;ENSMUST00000114160	Fam50a;D0HXS9928E;Xap5	Protein FAM50A;Protein XAP-5	Protein FAM50A	339	193449.03	125820.21	19.06	23.2
ENSMUST00000041366	Polr2j;Rpo2-4	Putative uncharacterized protein;DNA-directed RNA polymerase II subunit RPB11;DNA-directed RNA polymerase II subunit J;DNA-directed RNA polymerase II 13.3 kDa polypeptide;RPB14	polymerase (RNA) II (DNA directed) polypeptide J;DNA-directed RNA polymerase II subunit RPB11;13 kDa protein;10 kDa protein	117	193527.91	65805.51	65.8	47.99
ENSMUST00000033030;ENSMUST00000106643;ENSMUST00000106640	Parva;Actp;MNCb-0301	Alpha-parvin;Actopaxin;Putative uncharacterized protein	Alpha-parvin;Putative uncharacterized protein	372	193536.35	293358.75	57.43	55.78
ENSMUST00000067760;ENSMUST00000100789	1110020G09Rik	UPF0465 protein C5orf33 homolog	Isoform 1 of UPF0465 protein C5orf33 homolog;Isoform 3 of UPF0465 protein C5orf33 homolog;Isoform 2 of UPF0465 protein C5orf33 homolog;Isoform 4 of UPF0465 protein C5orf33 homolog	452	194218.67	105941.71	11.15	11.4
ENSMUST00000022507	Pspc1;Psp1	Paraspeckle component 1;Paraspeckle protein 1	Isoform 1 of Paraspeckle component 1;Isoform 2 of Paraspeckle component 1	523	194714.82	64132.14	11.12	5.72
ENSMUST00000030851	Tomm7	Mitochondrial import receptor subunit TOM7 homolog;Translocase of outer membrane 7 kDa subunit homolog	Mitochondrial import receptor subunit TOM7 homolog	55	194801.52	118610.27	25.82	18.49
ENSMUST00000025851	Dpp3	Putative uncharacterized protein	dipeptidyl peptidase III;Putative uncharacterized protein	738	195065.58	331190.46	29.89	41.44
ENSMUST00000025767;ENSMUST00000117831	Aip	AH receptor-interacting protein;Aryl-hydrocarbon receptor-interacting protein	AH receptor-interacting protein;19 kDa protein	330	195515.23	198812.04	50.07	39.97
ENSMUST00000016072;ENSMUST00000110034;ENSMUST00000110035;ENSMUST00000110037	Rrbp1;RP23-77A2.2-002	Ribosome-binding protein 1;Ribosome receptor protein;Ribosome binding protein 1	Isoform 3 of Ribosome-binding protein 1;ribosome binding protein 1 isoform a	1605	195599.87	173868.47	33.89	58.34
ENSMUST00000078691;ENSMUST00000025034	Bak1;Bak	Bcl-2 homologous antagonist/killer;Apoptosis regulator BAK;N-BAK1	BCL2-antagonist/killer 1;N-BAK1	209	195867.15	278676.29	37.15	47.58
ENSMUST00000020769;ENSMUST00000102928	Dbnl;Abp1;Sh3p7	Drebrin-like protein;SH3 domain-containing protein 7;Actin-binding protein 1	Isoform 1 of Drebrin-like protein;Isoform 2 of Drebrin-like protein;Isoform 3 of Drebrin-like protein	436	195913.55	162154.47	26.65	26.07
ENSMUST00000002198	Sf3a1	Splicing factor 3 subunit 1;SF3a120	Splicing factor 3A subunit 1	791	196081.43	237686.52	26.57	23.57
ENSMUST00000013737	Ndufs2	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial;NADH-ubiquinone oxidoreductase 49 kDa subunit;Complex I-49kD"	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial;50 kDa protein;Protein"	463	196121.68	109180.74	68.22	50.86
ENSMUST00000034983	Atp1b3	Sodium/potassium-transporting ATPase subunit beta-3;Sodium/potassium-dependent ATPase subunit beta-3	Sodium/potassium-transporting ATPase subunit beta-3	278	196870.88	462895.11	69.89	77.67
ENSMUST00000045441	Pygb	"Glycogen phosphorylase, brain form"	"Glycogen phosphorylase, brain form"	843	197584.29	344866.5	20.65	18.43
ENSMUST00000033158	Ubfd1;D7Wsu128e	Ubiquitin domain-containing protein UBFD1	Ubiquitin domain-containing protein UBFD1	368	198240.56	173365.8	11.33	14.14
ENSMUST00000007993	Rbm28	RNA-binding protein 28;RNA-binding motif protein 28	RNA-binding protein 28	750	198964.35	143026.88	19.83	18.31
ENSMUST00000028004	Aldh9a1	4-trimethylaminobutyraldehyde dehydrogenase;Aldehyde dehydrogenase family 9 member A1	aldehyde dehydrogenase 9A1	518	199296.43	144593.87	11.81	11.9
ENSMUST00000032057;ENSMUST00000060927	Gfpt1;Gfpt	Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] 1;Glutamine:fructose 6 phosphate amidotransferase 1;D-fructose-6-phosphate amidotransferase 1;Hexosephosphate aminotransferase 1	Isoform 1 of Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] 1;Isoform 2 of Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] 1	697	199362.18	243224.16	12.59	17.52
ENSMUST00000051572	Sdpr;Sdr	Serum deprivation-response protein;Phosphatidylserine-binding protein	Serum deprivation-response protein	418	199640.19	180689.48	23.31	10.74
ENSMUST00000013304	Atp6v0d1;Atp6d	V-type proton ATPase subunit d 1;Vacuolar proton pump subunit d 1;V-ATPase AC39 subunit;V-ATPase 40 kDa accessory protein;P39;Physophilin	V-type proton ATPase subunit d 1	351	200101.01	332480.13	16.49	24.01
ENSMUST00000004508	Tmed4;Ers25;RP23-198N14.6-002	Transmembrane emp24 domain-containing protein 4;Endoplasmic reticulum stress-response protein 25;p26;Transmembrane emp24 protein transport domain containing 4	Transmembrane emp24 domain-containing protein 4;Transmembrane emp24 protein transport domain containing 4	227	200798.02	94827.1	15.78	17.05
ENSMUST00000068795	Mrfap1;Pam14;MNCb-1039	MORF4 family-associated protein 1;Protein associated with MRG of 14 kDa	MORF4 family-associated protein 1	125	200949.81	73051.64	98.69	77.96
